"","TPAD1010","TPAD1016","TPAD1022","TPAD1008","TPAD1036","TPAD1040","TPAD1021","TPAD1012","TPAD1037","TPAD1025","TPAD1013","TPAD1035","TPAD1018","TPAD1007","TPAD1030","TPAD1039","TPAD1028","TPAD1005","TPAD1004","TPAD1017","TPAD1001","TPAD1011","TPAD1026","TPAD1032","TPAD1019","TPAD1033","TPAD1006","TPAD1024","TPAD1002","TPAD1038","TPAD1031","TPAD1034","TPAD1015","TPAD1027","TPAD1029","TPAD1003","TPAD1009","TPAD1014","TPAD1023","TPAD1020"
"sp|O15194|CTDSL_HUMAN",20.8477577414999,21.1738055317298,21.8601205965791,20.5351255548192,21.8230823020168,21.7768500378635,20.6777712807616,19.8269602740803,22.4928637650685,21.5123718775542,21.3503692607242,21.3935632041163,21.6420974342246,20.9990527711277,21.6662354558432,20.5933996595268,22.2203774386714,20.0421644208182,21.4632763057969,21.5228375738447,21.7924456615278,22.0141035223994,21.8795014031558,19.9615211138949,20.9190250993642,22.3934411938995,21.155712885231,22.3371501503831,21.0955369383016,21.5504943653198,20.6344776979768,22.0223690064494,20.519174566556,21.8401362529436,21.370960164983,20.909107631399,21.1503478007554,20.9897745916186,22.3186581492884,21.1711407478828
"sp|O95445|APOM_HUMAN",24.5514337570006,24.0368924507319,24.5068878872354,24.3831760929088,24.3729224636693,24.0347153061344,24.738942078012,24.9642111267464,23.7809298532863,24.2233640060632,24.7627372756247,24.7227432681416,23.652715463942,24.2630815245093,24.6644045902195,24.8888695292991,23.1216101811371,24.8620749118549,24.4168070083975,24.4554638079465,23.4534457758807,23.280996989498,24.6741071401012,24.4045999097776,24.0890106430358,22.9193445180227,23.8269134678873,23.4917318111456,24.5133589980072,24.2874086245479,23.9359801897502,23.2580989476503,23.9793734550586,24.171203954919,24.4052206526439,24.3857944166289,23.9747292920181,23.9983463870556,22.9754609711758,24.8846656793738
"sp|P21281|VATB2_HUMAN",23.2277698709474,23.2541342664348,23.7188303665871,23.4409350628423,22.8488661449475,23.8065729004913,22.8361896974332,21.9692306299149,24.4938803098266,23.7969089470004,22.7474026687809,22.91585629683,24.0452525746813,23.3366237214256,23.8723685361454,22.3144572224118,23.8860260385255,22.4640896117317,23.5057941373872,22.2355310101674,23.6166049869118,23.7884326868853,23.2094499049653,22.6739013117519,23.4143461701045,24.856949747205,23.4850191218527,23.7994370881275,23.5606468990325,22.4664272983667,22.3726136218622,23.5768961902926,21.6173359495376,23.5754981730578,23.5658165496233,23.2832762302209,23.4454775719038,23.3745806456894,23.782108003072,23.0448068204216
"sp|P23919|KTHY_HUMAN",15.6769665717038,16.0072675390054,16.1850251068057,15.3447962931177,17.7182868892585,16.9267470965337,14.0235666877014,16.7010278459209,18.0955313918693,16.3509799380336,13.6146985357118,14.295184589832,14.7870758985435,15.8568364129278,13.7399942541081,16.3209546641476,18.0876981893757,13.7701652504675,15.9693008834777,17.0140839069516,17.3459415487866,16.1517868097545,13.6955836700375,18.3754135240769,17.6607701803041,18.2919373612234,16.5816423198863,16.8283476621362,16.1135520760681,17.0357469886886,14.5324694636253,17.471399757279,15.6000607483752,16.5774893219903,11.8949389657648,15.8724565186907,16.0367062541518,15.2696587689182,17.9545546750658,16.4911369027377
"sp|P36551|HEM6_HUMAN",20.6191289271047,21.4375997311421,20.6168703535908,19.9153373538362,20.721897427699,20.6764645199681,20.5559662632796,20.5288663199612,20.3467761547196,20.9624584254085,20.8083341874882,21.2638656812339,21.1196436109754,20.8557347835885,20.7277272457982,20.6082879588054,21.4617714061853,20.9112415091699,20.8863796427626,20.9938037968478,21.6474024783157,21.0192013047626,20.8627002491683,20.4425706531215,20.9385595301556,21.8203000523561,20.9680762855648,21.2446233324759,21.2747184418478,20.5044866403213,21.1951371173185,21.4131191184137,21.8472365094693,21.0887444395763,20.4036463950996,20.3869877736224,21.0923406400723,20.4554432891278,21.1073565918135,21.3900068683967
"sp|P55103|INHBC_HUMAN",23.8739673449985,25.0123602794387,24.1432626256957,25.0871421212429,23.3859761836836,23.3702735441115,24.4742193628719,25.4286161006575,23.2497401396122,23.7361916865297,24.6484628497078,24.3637680115647,23.8722840714601,23.6050470601808,23.5890340897956,24.927904641259,23.0737389160352,23.3054173879297,23.6268884918069,22.9872666520865,22.5017010216084,24.0660287559679,23.8551272767196,24.2027547598653,23.3077824580334,22.7355398177951,23.0285846318297,23.0010648746693,23.6636611838163,24.1695705352504,25.1806918660296,23.3966966634014,24.2512459374813,22.8961922798506,23.8085095512734,24.0219345830317,23.3361267753631,25.1229304462212,23.4722655602706,24.54643752687
"sp|P59190|RAB15_HUMAN",27.4727360122443,27.6243048231058,28.0224247611142,27.4188202812882,27.5594743552403,27.7098057506651,27.2581250371711,25.5785277547949,28.276607369414,27.6321947991117,26.9180667261858,27.5167870378723,27.9698405641442,27.6799489841867,27.6079226042213,27.1309430962304,28.2780517802356,27.3208897403382,27.5473762822024,26.9911106312266,27.9355418256935,27.8834147125333,27.7375998607186,26.8870829001971,27.5529460088957,28.46204891141,27.8762597568273,27.9321672347229,27.7811144729554,27.0722301257803,27.4142256421806,27.954303871145,26.8064353579382,27.8198655340548,27.5353211616797,27.8796405300021,27.8871619561292,27.6460386405266,28.0488308930613,27.5592204773841
"sp|Q07954|LRP1_HUMAN",31.7430541870598,31.0697910539482,31.0545048227639,31.8980122716542,31.8339909060397,30.7558788947117,31.949374037094,31.9982540521306,30.5651167866006,31.6574261954073,31.548887583805,31.0215619705298,30.4159287054873,31.6289354598394,31.451949984553,31.9487335293511,30.1307128991886,32.3384269422823,31.4607729080183,31.8226265499118,30.6856847395401,30.419509009823,31.7440165044408,31.7580630587858,31.048644819133,29.3498193941646,31.7759832477678,30.8704240710698,31.6322928123164,31.9849375777956,31.4632430556322,30.7139873257436,31.39420402468,31.409449070309,31.7693694465954,31.6113752972969,31.5148167326191,31.0362018797972,29.830593678681,31.1620800796057
"sp|Q8WUY1|THEM6_HUMAN",21.4767844625875,21.8202918514536,21.214686662754,22.16505584648,21.6857701806422,22.0176699008414,22.2681791957198,22.6282466161045,21.5994421576972,21.3779376437168,22.633531691018,21.6599758574067,21.8890539798921,21.7045574457502,22.1538098427896,22.327106904664,21.5677569209105,21.3305076088582,22.0760837103738,22.438764380971,21.4943247021679,22.2304738631875,21.9073406810866,22.3301446112278,21.9755278960188,21.9348856243028,20.8952226859449,21.9821264418282,21.9102972293849,21.939728150199,22.2428130663221,21.394977329265,22.3844638149795,21.9764441998823,22.3667884946011,22.0604103370414,21.9323304289128,22.6606960799622,21.4376080052112,21.8555818773987
"sp|Q92888|ARHG1_HUMAN",19.629320550275,20.0966581734905,19.5120453907406,19.3103620555413,18.866458750403,19.5419227340823,19.7670321642902,19.8024128724187,19.6736890852315,19.9846603749797,19.6711038609731,20.5085830643282,20.1466452849814,20.022687752228,20.1613369549196,20.1738586392905,19.7462779129371,20.5611704212678,20.1275419214209,18.8351078634795,20.2144814798584,19.7181486003315,19.4307016952569,19.9256863419919,20.526750204287,20.1276643824445,19.6526339294272,19.6566413592113,19.7646164923332,19.7350520988835,20.021374504005,19.7950078668933,20.752679134242,20.0479239566619,19.7225633322956,20.5280079657471,20.416054954181,20.128575302254,19.9221220096937,20.8105571222655
