Protein.Accession,Group.Proteins,Group.Accessions,Gene,FC,FCmin,FCmax,Adj_pValue,Log2FC,Log10pValue,Log2FCmin,Log2FCmax,FC_SE,FC_SD_NoProp,FC_SD_Log2,type
A6NIH7 / Q13432,sp|A6NIH7|U119B_HUMAN / sp|Q13432|U119A_HUMAN,A6NIH7 / Q13432,UNC119B / UNC119,1565.4235,0.0204,120102107.4754,0.197577161,10.6123,-0.704263259267301,-5.61528703757795,26.8396862258596,30638292.7181122,33643180.3902386,31005.5710219822,Not Significant
O15194,sp|O15194|CTDSL_HUMAN,O15194,CTDSPL,4.9769,3.4913,7.0947,0.000914826267,2.3152,-3.03866137418184,1.80376432994039,2.82674168109163,0.919234693877551,1.00938974999759,0.292600129929408,Enriched
O95445,sp|O95445|APOM_HUMAN,O95445,APOM,0.1519,0.1327,0.1738,3.01855278e-05,-2.719,-4.52020122601811,-2.91375972417926,-2.52450001273505,0.010484693877551,0.0115129929302605,0.10934652933691,Depleted
P02748,sp|P02748|CO9_HUMAN,P02748,C9,6.1215,5.4196,6.9143,2.55954189e-05,2.6139,-4.59183775830089,2.43818637569136,2.78958320110143,0.381301020408163,0.418697579874949,0.0986772722564404,Enriched
P21281,sp|P21281|VATB2_HUMAN,P21281,ATP6V1B2,6.1242,1.5028,24.9577,0.0449058505,2.6145,-1.34769707382197,0.587653021092322,4.64141308231328,5.98339285714286,6.57022135960992,1.54776554865157,Enriched
P23919,sp|P23919|KTHY_HUMAN,P23919,DTYMK,1.9323,0.9328,4.0031,0.104635951,0.9503,-0.980319074183985,-0.100360306348953,2.00111765562106,0.783239795918367,0.860056987683185,0.642136288884972,Not Significant
P36551,sp|P36551|HEM6_HUMAN,P36551,CPOX,5.9744,3.5128,10.1609,0.00235964642,2.5788,-2.6271530687872,1.81262143957709,3.3449562891265,1.69594387755102,1.86227562772908,0.449701361290359,Enriched
P55103,sp|P55103|INHBC_HUMAN,P55103,INHBC,3.4493,2.9588,4.0212,0.000151321401,1.7863,-3.8200996464716,1.56501218089822,2.00762609237618,0.271020408163265,0.297601062995348,0.124473828819376,Enriched
P59190,sp|P59190|RAB15_HUMAN,P59190,RAB15,24.9943,21.6592,28.843,8.83872858e-06,4.6435,-5.05361020222699,4.43690805171415,4.85014932396089,1.83260204081633,2.01233670589795,0.11615401056232,Enriched
P61129,sp|P61129|ZC3H6_HUMAN,P61129,ZC3H6,8.9968,7.0636,11.459,0.0001054159,3.1694,-3.9770938790526,2.82040364786244,3.51840924386967,1.12127551020408,1.23124596412815,0.197438249884652,Enriched
Q02410 / Q99767,sp|Q02410|APBA1_HUMAN / sp|Q99767|APBA2_HUMAN,Q02410 / Q99767,APBA1 / APBA2,3.3675,0.172,65.9395,0.392069999,1.7517,-0.406636388424699,-2.53951952995999,6.04307104240134,16.7774234693878,18.4228895995355,7.89268343402962,Not Significant
Q07954,sp|Q07954|LRP1_HUMAN,Q07954,LRP1,4.6535,3.9003,5.5522,0.000119260413,2.2183,-3.92350369102155,1.96358509624838,2.47305953726258,0.42140306122449,0.462732676922077,0.143458072043141,Enriched
Q15813,sp|Q15813|TBCE_HUMAN,Q15813,TBCE,2.0961,0.8051,5.4576,0.146412918,1.0677,-0.834420603819871,-0.312760106015397,2.44826666006395,1.18686224489796,1.30326519727584,0.897005981142615,Not Significant
Q8WUY1,sp|Q8WUY1|THEM6_HUMAN,Q8WUY1,THEM6,24.1272,16.8791,34.4877,0.000111476256,4.5926,-3.95281762576646,4.07716607593765,5.1080100129225,4.49198979591837,4.9325471365398,0.294943519879514,Enriched
Q92888,sp|Q92888|ARHG1_HUMAN,Q92888,ARHGEF1,2.472,1.1173,5.4691,0.0628516673,1.3057,-1.20168319706179,0.160016607845905,2.45130344136043,1.11015306122449,1.21903266749167,0.711445139187655,Not Significant
Q92928,sp|Q92928|RAB1C_HUMAN,Q92928,RAB1C,27.9641,25.0968,31.1589,4.48472982e-06,4.8055,-5.34826371565613,4.6494315180896,4.96157239784545,1.54645408163265,1.69812443899105,0.0876078867885878,Enriched
Q92963,sp|Q92963|RIT1_HUMAN,Q92963,RIT1,36.3878,17.4145,76.0327,0.000727571825,5.1854,-3.13812412720606,4.12221714617112,6.24854811846559,14.9536224489796,16.4202170847834,0.651024952278985,Enriched
Q96BN8,sp|Q96BN8|OTUL_HUMAN,Q96BN8,OTULIN,2.3503,0.7592,7.2761,0.15308664,1.2328,-0.81506270889319,-0.39744810252834,2.8631653709873,1.66247448979592,1.82552368922664,1.12056927774012,Not Significant
Q99442,sp|Q99442|SEC62_HUMAN,Q99442,SEC62,2.1637,0.6385,7.3325,0.209700081,1.1135,-0.678401401781455,-0.647241474959363,2.87430516598223,1.70765306122449,1.87513320377528,1.25028671908898,Not Significant
Q9BVK6,sp|Q9BVK6|TMED9_HUMAN,Q9BVK6,TMED9,4.859,2.2961,10.2826,0.0105158787,2.2807,-1.97815443209634,1.19918547579514,3.36213319724378,2.03737244897959,2.23719021989114,0.664248453542341,Enriched
Q9NQP4,sp|Q9NQP4|PFD4_HUMAN,Q9NQP4,PFDN4,24.1338,13.8786,41.9667,0.000439992218,4.593,-3.35655500467187,3.79479013867343,5.39117311801556,7.16533163265306,7.86808021227375,0.47034616610579,Enriched
Q9NSY1,sp|Q9NSY1|BMP2K_HUMAN,Q9NSY1,BMP2K,5.7108,1.6908,19.2888,0.0333723834,2.5137,-1.47661277564953,0.757706017481343,4.26969148773524,4.48928571428571,4.92957784882542,1.2453382216461,Enriched
Q9NZN5,sp|Q9NZN5|ARHGC_HUMAN,Q9NZN5,ARHGEF12,8.3009,4.6334,14.8714,0.00185849739,3.0533,-2.73083804447377,2.21207123516768,3.89446856460339,2.61173469387755,2.86788373771307,0.498437717144497,Enriched
Q9UII2,sp|Q9UII2|ATIF1_HUMAN,Q9UII2,ATP5IF1,39.9867,30.88,51.7789,2.86045487e-05,5.3214,-4.54356489979993,4.94860084749336,5.69429241158538,5.33135204081633,5.85423085037036,0.211216975045415,Enriched
Q9UP95 / Q9UHW9,sp|Q9UP95|S12A4_HUMAN / sp|Q9UHW9|S12A6_HUMAN,Q9UP95 / Q9UHW9,SLC12A4 / SLC12A6,17.006,8.7044,33.225,0.0011392045,4.088,-2.94339830818641,3.12174485538842,5.05419729438881,6.25525510204082,6.86874682349748,0.582706514135107,Enriched
O00471,sp|O00471|EXOC5_HUMAN,O00471,EXOC5,13.7267,7.1612,26.3116,0.00133699954,3.7789,-2.87386874215873,2.84020135969481,4.71762707588376,4.88530612244898,5.36443843823993,0.563809854663021,Enriched
O15173,sp|O15173|PGRC2_HUMAN,O15173,PGRMC2,40.6075,23.0451,71.5539,0.000291645245,5.3437,-3.53514509993719,4.52638812288699,6.16095849716177,12.374693877551,13.5883569697183,0.482764396085491,Enriched
O43426,sp|O43426|SYNJ1_HUMAN,O43426,SYNJ1,18289.1464,0.6011,556507175.1917,0.0930777729,14.1587,-1.0311540167563,-0.734323074827831,29.0518250478283,141966115.96699,155889614.761578,12296.9748955927,Not Significant
O75069,sp|O75069|TMCC2_HUMAN,O75069,TMCC2,2.6327,1.2825,5.4046,0.0398481002,1.3966,-1.39959237921955,0.358958825832329,2.43418784656846,1.05155612244898,1.15468876296416,0.632758670603793,Enriched
O95487,sp|O95487|SC24B_HUMAN,O95487,SEC24B,10.0359,6.7323,14.9606,0.000434571517,3.3271,-3.36193874192507,2.75109946645825,3.90309613105318,2.09905612244898,2.30492359435676,0.331340670912072,Enriched
P09211,sp|P09211|GSTP1_HUMAN,P09211,GSTP1,19.5821,15.8112,24.2523,3.06446229e-05,4.2915,-4.51364571852648,3.98287496089806,4.60004966863027,2.15334183673469,2.36453344583022,0.174205048299996,Enriched
