"Chris ID","Linkcode","WellNo","Run Order","RunLevelCount",""
"AD01","121315","D5","42","16080","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD01_121315_D5_42.mzML.elib"
"AD02","121676","D8","64","14829","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD02_121676_D8_64.mzML.elib"
"AD03","131182","E5","19","19874","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD03_131182_E5_19.mzML.elib"
"AD04","131136","E6","04","16574","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD04_131136_E6_04.mzML.elib"
"AD05","131127","E7","61","15473","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD05_131127_E7_61.mzML.elib"
"AD06","131086","D4","29","13226","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD06_131086_D4_29.mzML.elib"
"AD07","121663","D7","39","18590","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD07_121663_D7_39.mzML.elib"
"AD08","131027","E2","13","10849","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD08_131027_E2_13.mzML.elib"
"AD09","131040","E4","54","11838","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD09_131040_E4_54.mzML.elib"
"AD10","131282","E8","17","15153","../elibs/Ecl_2022_0616_Pico75umID25cm3um_AD10_131282_E8_17.mzML.elib"
"CP01","BatchQC","BatchQC","21","16465","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchQC_CP01_21.mzML.elib"
"CP02","BatchQC","BatchQC","63","16185","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchQC_CP02_63.mzML.elib"
"CP03","BatchQC","BatchQC","45","16477","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchQC_CP03_45.mzML.elib"
"CP04","BatchQC","BatchQC","10","16662","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchQC_CP04_10.mzML.elib"
"KP01","BatchRef","BatchRef","56","19718","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchRef_KP01_56.mzML.elib"
"KP02","BatchRef","BatchRef","47","20678","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchRef_KP02_47.mzML.elib"
"KP03","BatchRef","BatchRef","25","20790","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchRef_KP03_25.mzML.elib"
"KP04","BatchRef","BatchRef","07","20965","../elibs/Ecl_2022_0616_Pico75umID25cm3um_BatchRef_KP04_07.mzML.elib"
"HC01","141076","A7","24","16944","../elibs/Ecl_2022_0616_Pico75umID25cm3um_HC01_141076_A7_24.mzML.elib"
"HC02","141337","C3","53","22762","../elibs/Ecl_2022_0616_Pico75umID25cm3um_HC02_141337_C3_53.mzML.elib"
