Particle Size (nm),Concentration Average (particles / ml),Stdev
1,2.5439E-249,0
3,1.335E-144,1.888E-144
5,5.1793E-100,7.3247E-100
7,9.85838E-74,1.39418E-73
9,2.18525E-56,3.0903E-56
11,3.11301E-44,4.40188E-44
13,2.26463E-35,3.2012E-35
15,1.07999E-28,1.52481E-28
17,1.7133E-23,2.40799E-23
19,2.67962E-19,3.70477E-19
21,8.6623E-16,1.13704E-15
23,9.53897E-13,1.09815E-12
25,4.89844E-10,4.45239E-10
27,1.36896E-07,9.95815E-08
29,2.17173E-05,1.58281E-05
31,0.001961187,0.001618825
33,0.101936567,0.092878288
35,3.144,2.98933394
37,60.12483333,56.5525068
39,748.9866667,666.9953846
41,6386.033333,5218.470231
43,39112,28787.1555
45,180176,118363.9524
47,651176.6667,380463.6861
49,1915166.667,994391.527
51,4723466.667,2180778.106
53,10007666.67,4112107.354
55,18573000,6788141.474
57,30697333.33,9939765.837
59,45876666.67,13035897.24
61,62903000,15438721.54
63,80264666.67,16637698.1
65,96622000,16447300.83
67,111108666.7,15062074.79
69,123376666.7,12977376.04
71,133443333.3,10801457.72
73,141520000,9054880.82
75,147890000,7923488.289
77,152813333.3,7197195.441
79,156513333.3,6544093.181
81,159186666.7,5797380.635
83,160973333.3,5039539.221
85,161983333.3,4458821.469
87,162270000,4194814.259
89,161870000,4110571.736
91,160800000,3968181.783
93,159090000,3583136.429
95,156793333.3,2926093.338
97,153990000,2127721.786
99,150783333.3,1585293.523
101,147286666.7,1817953.673
103,143613333.3,2508722.561
105,139853333.3,3130775.552
107,136090000,3463071.854
109,132386666.7,3436784.673
111,128793333.3,3056548.526
113,125343333.3,2399810.178
115,122063333.3,1662855.643
117,118973333.3,1373859.123
119,116080000,1981060.322
121,113383333.3,2961534.887
123,110883333.3,3940747.25
125,108560000,4771924.839
127,106402333.3,5396706.177
129,104383333.3,5781962.374
131,102485333.3,5926200.882
133,100676666.7,5838323.58
135,98930000,5549455.289
137,97210333.33,5098942.396
139,95493666.67,4554216.386
141,93747000,3988861.742
143,91942000,3497744.702
145,90056000,3183174.202
147,88072666.67,3106964.471
149,85981333.33,3241785.139
151,83780666.67,3489555.113
153,81478000,3746462.954
155,79088000,3937632.537
157,76632333.33,4022658.353
159,74137000,3983176.956
161,71631333.33,3820381.685
163,69145666.67,3546808.644
165,66707666.67,3183625.327
167,64343333.33,2757130.07
169,62072666.67,2298246.046
171,59911666.67,1840350.389
173,57870000,1429177.619
175,55952666.67,1128199.253
177,54158666.67,1010525.386
179,52484666.67,1086493.544
181,50921666.67,1270240.485
183,49461000,1475954.155
185,48090666.67,1654766.919
187,46798333.33,1784869.805
189,45572000,1856935.289
191,44401000,1866940.992
193,43273666.67,1815460.333
195,42183000,1705004.594
197,41120666.67,1540337.697
199,40081666.67,1327999.582
201,39062000,1075889.709
203,38060000,791447.1976
205,37073666.67,483654.3761
207,36103666.67,163432.6229
209,35150000,171961.2359
211,34214333.33,496556.3636
213,33298333.33,813077.4188
215,32402666.67,1113987.532
217,31528666.67,1392552.891
219,30679333.33,1644500.802
221,29853666.67,1866290.498
223,29052666.67,2055094.861
225,28277333.33,2208797.612
227,27528000,2327174.395
229,26803666.67,2410941.909
231,26104000,2460356.478
233,25428333.33,2477310.549
235,24776333.33,2464201.065
237,24146666.67,2423397.798
239,23538333.33,2357796.759
241,22950333.33,2270980.16
243,22381333.33,2166745.845
245,21830000,2047643.198
247,21295333.33,1917937.144
249,20776000,1780961.725
251,20270666.67,1639993.767
253,19778333.33,1497426.533
255,19297333.33,1357891.094
257,18827666.67,1223310.354
259,18367333.33,1096491.475
261,17915333.33,981446.6647
263,17471666.67,879225.5431
265,17035333.33,793374.3687
267,16605666.67,724861.5193
269,16182666.67,675910.4148
271,15765333.33,645150.8006
273,15354000,631573.1681
275,14948666.67,632311.2806
277,14549000,642697.9591
279,14155666.67,660033.5008
281,13768666.67,680852.5701
283,13388333.33,703844.8377
285,13014666.67,726567.4244
287,12648333.33,748597.5035
289,12290000,769254.6176
291,11939333.33,787386.535
293,11597333.33,803353.5267
295,11263666.67,817214.1022
297,10939033.33,828220.0204
299,10623533.33,837227.9074
301,10317433.33,843500.6277
303,10021200,847855.1449
305,9734300,849751.7167
307,9457366.667,849732.3121
309,9189800,847206.189
311,8932066.667,842821.9279
313,8683900,836428.8892
315,8445200,827978.3129
317,8215833.333,817661.3983
319,7995566.667,805435.4612
321,7784233.333,791341.8365
323,7581600,775437.4765
325,7387366.667,757717.5214
327,7201300,738211.3699
329,7023066.667,716949.056
331,6852433.333,693872.8622
333,6689066.667,669017.4753
335,6532666.667,642421.1305
337,6382933.333,614051.7586
339,6239533.333,583951.3127
341,6102166.667,552030.3514
343,5970533.333,518356.9834
345,5844333.333,482945.3132
347,5723266.667,445778.8864
349,5607066.667,406917.7504
351,5495466.667,366356.3414
353,5388200,324183.3535
355,5284966.667,280477.2282
357,5185666.667,235357.1234
359,5089900,188969.6801
361,4997533.333,141883.1522
363,4908400,95255.69099
365,4822266.667,54481.39336
367,4738933.333,46859.67231
369,4658300,84399.56556
371,4580166.667,134277.1346
373,4504433.333,187545.5559
375,4430966.667,242337.5103
377,4359566.667,297939.1138
379,4290200,354001.1394
381,4222700,410255.6845
383,4157000,466428.6083
385,4093000,522323.7119
387,4030600,577721.2477
389,3969700,632371.5733
391,3910233.333,686134.9981
393,3852066.667,738761.9478
395,3795166.667,790049.9661
397,3739400,839866.6442
399,3684733.333,887963.7768
401,3631000,934228.4624
403,3578166.667,978436.4954
405,3526166.667,1020475.119
407,3474866.667,1060223.959
409,3424133.333,1097516.47
411,3374000,1132274.775
413,3324266.667,1164371.308
415,3274933.333,1193735.242
417,3225866.667,1220316.902
419,3177000,1244048.884
421,3128266.667,1264842.645
423,3079600,1282747.678
425,3030933.333,1297686.214
427,2982266.667,1309693.935
429,2933500,1318781.986
431,2884533.333,1325032.634
433,2835466.667,1328411.89
435,2786266.667,1328999.146
437,2736800,1326885.504
439,2687160,1322129.159
441,2637380,1314888.725
443,2587350,1305146.9
445,2537226.667,1293127.692
447,2487006.667,1278923.564
449,2436690,1262623.841
451,2386333.333,1244408.08
453,2336036.667,1224416.146
455,2285800,1202773.872
457,2235720,1179660.793
459,2185833.333,1155205.645
461,2136243.333,1129582.013
463,2087020,1102928.553
465,2038203.333,1075431.879
467,1989900,1047206.735
469,1942186.667,1018443.518
471,1895070,989236.6228
473,1848700,959783.9896
475,1803120,930212.6571
477,1758376.667,900645.5298
479,1714553.333,871234.1624
481,1671670,842057.5945
483,1629843.333,813278.8614
485,1589060,784963.3328
487,1549373.333,757205.7211
489,1510833.333,730134.3499
491,1473503.333,703827.1388
493,1437340,678308.1536
495,1402426.667,653708.3397
497,1368726.667,630027.645
499,1336300,607347.4623
501,1305170,585728.0158
503,1275266.667,565140.197
505,1246616.667,545632.8838
507,1219280,527265.8414
509,1193150,509987.7074
511,1168293.333,493831.6421
513,1144600,478742.436
515,1122170,464790.5426
517,1100933.333,451897.0114
519,1080816.667,440030.8935
521,1061820,429137.9974
523,1043970,419266.7216
525,1027193.333,410314.2147
527,1011420,402193.498
529,996696.6667,394958.7829
531,982940,388483.6861
533,970123.3333,382728.1948
535,958250,377704.6711
537,947226.6667,373285.6395
539,937033.3333,369428.6474
541,927640,366104.5343
543,919020,363277.8599
545,911143.3333,360922.1122
547,903923.3333,358910.8233
549,897393.3333,357317.2639
551,891456.6667,356026.8039
553,886093.3333,355014.4565
555,881273.3333,354264.0617
557,876966.6667,353761.7663
559,873146.6667,353494.3745
561,869720,353355.8338
563,866733.3333,353423.5013
565,864080,353603.8284
567,861743.3333,353884.5646
569,859723.3333,354304.0544
571,857933.3333,354761.0988
573,856376.6667,355300.2586
575,854996.6667,355865.6166
577,853803.3333,356490.2408
579,852700,357085.1641
581,851700,357688.1678
583,850776.6667,358282.3613
585,849876.6667,358823.842
587,848973.3333,359305.5586
589,848080,359749.0104
591,847110,360075.9587
593,846073.3333,360307.5029
595,844923.3333,360397.3979
597,843666.6667,360374.209
599,842293.3333,360223.2147
601,840746.6667,359897.6403
603,839016.6667,359390.8975
605,837116.6667,358719.2563
607,835003.3333,357843.2637
609,832630,356719.2965
611,830073.3333,355421.7702
613,827280,353882.2866
615,824216.6667,352104.5781
617,820910,350091.2608
619,817330,347809.4859
621,813466.6667,345263.1492
623,809353.3333,342469.1427
625,804983.3333,339426.3748
627,800360,336117.1451
629,795440,332529.3479
631,790290,328698.8331
633,784876.6667,324595.6681
635,779220,320248.9895
637,773290,315622.998
639,767166.6667,310777.0985
641,760796.6667,305680.2537
643,754216.6667,300354.536
645,747433.3333,294799.4384
647,740453.3333,289029.8158
649,733290,283058.3078
651,725953.3333,276895.0827
653,718460,270543.011
655,710820,264019.5153
657,703046.6667,257345.9281
659,695150,250520.6165
661,687143.3333,243565.6684
663,679043.3333,236489.7464
665,670856.6667,229312.0298
667,662596.6667,222041.5037
669,654273.3333,214696.5496
671,645903.3333,207291.3219
673,637496.6667,199836.6777
675,629053.3333,192348.8647
677,620600,184839.4785
679,612136.6667,177329.3735
681,603670,169832.6052
683,595213.3333,162350.0971
685,586773.3333,154912.5175
687,578353.3333,147526.7619
689,569966.6667,140204.6795
691,561616.6667,132961.4897
693,553310,125805.4517
695,545050,118760.8656
697,536843.3333,111831.3186
699,528690,105039.0616
701,520600,98392.58746
703,512566.6667,91908.47343
705,504603.3333,85596.65972
707,496706.6667,79477.01652
709,488873.3333,73566.57272
711,481116.6667,67885.19541
713,473433.3333,62451.49069
715,465820,57287.48613
717,458280,52428.57491
719,450813.3333,47903.54359
721,443416.6667,43758.35946
723,436096.6667,40029.47442
