Protein,Protein Accession,Protein Gene,MS Level,Fold Change Result,Fold Change,Min Fold Change,Max Fold Change,Adjusted P-Value,Log 2 Fold Change
sp|A6NIH7|U119B_HUMAN / sp|Q13432|U119A_HUMAN,A6NIH7 / Q13432,UNC119B / UNC119,2,1565.42 (95% CI:0.02 to 120102107.48),1565.4235,0.0204,120102107.4754,1.97577161E-1,10.6123
sp|O15194|CTDSL_HUMAN,O15194,CTDSPL,2,4.98 (95% CI:3.49 to 7.09),4.9769,3.4913,7.0947,9.14826267E-4,2.3152
sp|O95445|APOM_HUMAN,O95445,APOM,2,0.15 (95% CI:0.13 to 0.17),0.1519,0.1327,0.1738,3.01855278E-5,-2.719
sp|P02748|CO9_HUMAN,P02748,C9,2,6.12 (95% CI:5.42 to 6.91),6.1215,5.4196,6.9143,2.55954189E-5,2.6139
sp|P21281|VATB2_HUMAN,P21281,ATP6V1B2,2,6.12 (95% CI:1.5 to 24.96),6.1242,1.5028,24.9577,4.49058505E-2,2.6145
sp|P23919|KTHY_HUMAN,P23919,DTYMK,2,1.93 (95% CI:0.93 to 4),1.9323,0.9328,4.0031,1.04635951E-1,0.9503
sp|P36551|HEM6_HUMAN,P36551,CPOX,2,5.97 (95% CI:3.51 to 10.16),5.9744,3.5128,10.1609,2.35964642E-3,2.5788
sp|P55103|INHBC_HUMAN,P55103,INHBC,2,3.45 (95% CI:2.96 to 4.02),3.4493,2.9588,4.0212,1.51321401E-4,1.7863
sp|P59190|RAB15_HUMAN,P59190,RAB15,2,24.99 (95% CI:21.66 to 28.84),24.9943,21.6592,28.843,8.83872858E-6,4.6435
sp|P61129|ZC3H6_HUMAN,P61129,ZC3H6,2,9 (95% CI:7.06 to 11.46),8.9968,7.0636,11.459,1.05415900E-4,3.1694
sp|Q02410|APBA1_HUMAN / sp|Q99767|APBA2_HUMAN,Q02410 / Q99767,APBA1 / APBA2,2,3.37 (95% CI:0.17 to 65.94),3.3675,0.172,65.9395,3.92069999E-1,1.7517
sp|Q07954|LRP1_HUMAN,Q07954,LRP1,2,4.65 (95% CI:3.9 to 5.55),4.6535,3.9003,5.5522,1.19260413E-4,2.2183
sp|Q15813|TBCE_HUMAN,Q15813,TBCE,2,2.1 (95% CI:0.81 to 5.46),2.0961,0.8051,5.4576,1.46412918E-1,1.0677
sp|Q8WUY1|THEM6_HUMAN,Q8WUY1,THEM6,2,24.13 (95% CI:16.88 to 34.49),24.1272,16.8791,34.4877,1.11476256E-4,4.5926
sp|Q92888|ARHG1_HUMAN,Q92888,ARHGEF1,2,2.47 (95% CI:1.12 to 5.47),2.472,1.1173,5.4691,6.28516673E-2,1.3057
sp|Q92928|RAB1C_HUMAN,Q92928,RAB1C,2,27.96 (95% CI:25.1 to 31.16),27.9641,25.0968,31.1589,4.48472982E-6,4.8055
sp|Q92963|RIT1_HUMAN,Q92963,RIT1,2,36.39 (95% CI:17.41 to 76.03),36.3878,17.4145,76.0327,7.27571825E-4,5.1854
sp|Q96BN8|OTUL_HUMAN,Q96BN8,OTULIN,2,2.35 (95% CI:0.76 to 7.28),2.3503,0.7592,7.2761,1.53086640E-1,1.2328
sp|Q99442|SEC62_HUMAN,Q99442,SEC62,2,2.16 (95% CI:0.64 to 7.33),2.1637,0.6385,7.3325,2.09700081E-1,1.1135
sp|Q9BVK6|TMED9_HUMAN,Q9BVK6,TMED9,2,4.86 (95% CI:2.3 to 10.28),4.859,2.2961,10.2826,1.05158787E-2,2.2807
sp|Q9NQP4|PFD4_HUMAN,Q9NQP4,PFDN4,2,24.13 (95% CI:13.88 to 41.97),24.1338,13.8786,41.9667,4.39992218E-4,4.593
sp|Q9NSY1|BMP2K_HUMAN,Q9NSY1,BMP2K,2,5.71 (95% CI:1.69 to 19.29),5.7108,1.6908,19.2888,3.33723834E-2,2.5137
sp|Q9NZN5|ARHGC_HUMAN,Q9NZN5,ARHGEF12,2,8.3 (95% CI:4.63 to 14.87),8.3009,4.6334,14.8714,1.85849739E-3,3.0533
sp|Q9UII2|ATIF1_HUMAN,Q9UII2,ATP5IF1,2,39.99 (95% CI:30.88 to 51.78),39.9867,30.88,51.7789,2.86045487E-5,5.3214
sp|Q9UP95|S12A4_HUMAN / sp|Q9UHW9|S12A6_HUMAN,Q9UP95 / Q9UHW9,SLC12A4 / SLC12A6,2,17.01 (95% CI:8.7 to 33.23),17.006,8.7044,33.225,1.13920450E-3,4.088
sp|O00471|EXOC5_HUMAN,O00471,EXOC5,2,13.73 (95% CI:7.16 to 26.31),13.7267,7.1612,26.3116,1.33699954E-3,3.7789
sp|O15173|PGRC2_HUMAN,O15173,PGRMC2,2,40.61 (95% CI:23.05 to 71.55),40.6075,23.0451,71.5539,2.91645245E-4,5.3437
sp|O43426|SYNJ1_HUMAN,O43426,SYNJ1,2,18289.15 (95% CI:0.6 to 556507175.19),18289.1464,0.6011,556507175.1917,9.30777729E-2,14.1587
sp|O75069|TMCC2_HUMAN,O75069,TMCC2,2,2.63 (95% CI:1.28 to 5.4),2.6327,1.2825,5.4046,3.98481002E-2,1.3966
sp|O95487|SC24B_HUMAN,O95487,SEC24B,2,10.04 (95% CI:6.73 to 14.96),10.0359,6.7323,14.9606,4.34571517E-4,3.3271
sp|P09211|GSTP1_HUMAN,P09211,GSTP1,2,19.58 (95% CI:15.81 to 24.25),19.5821,15.8112,24.2523,3.06446229E-5,4.2915
sp|P13798|ACPH_HUMAN,P13798,APEH,2,16.72 (95% CI:14.04 to 19.91),16.7196,14.0398,19.9108,2.06241270E-5,4.0635
sp|P18433|PTPRA_HUMAN,P18433,PTPRA,2,2.6 (95% CI:1.17 to 5.78),2.6026,1.1727,5.7758,5.48518023E-2,1.3799
sp|P49589|SYCC_HUMAN,P49589,CARS1,2,0.06 (95% CI:0.05 to 0.07),0.0581,0.0509,0.0663,9.97244072E-6,-4.1054
sp|P57053|H2BFS_HUMAN / sp|Q99879|H2B1M_HUMAN / sp|Q16778|H2B2E_HUMAN / sp|Q5QNW6|H2B2F_HUMAN / sp|P62807|H2B1C_HUMAN / sp|O60814|H2B1K_HUMAN / sp|P23527|H2B1O_HUMAN / sp|P06899|H2B1J_HUMAN / sp|Q99877|H2B1N_HUMAN / sp|Q99880|H2B1L_HUMAN / sp|P33778|H2B1B_HUMAN / sp|Q93079|H2B1H_HUMAN / sp|Q8N257|H2B3B_HUMAN / sp|P58876|H2B1D_HUMAN,P57053 / Q99879 / Q16778 / Q5QNW6 / P62807 / O60814 / P23527 / P06899 / Q99877 / Q99880 / P33778 / Q93079 / Q8N257 / P58876,H2BC12L / H2BC14 / H2BC21 / H2BC18 / H2BC10 / H2BC12 / H2BC17 / H2BC11 / H2BC15 / H2BC13 / H2BC3 / H2BC9 / H2BU1 / H2BC5,2,36.06 (95% CI:5.48 to 237.25),36.0578,5.4801,237.2512,1.44400593E-2,5.1722
sp|P78406|RAE1L_HUMAN,P78406,RAE1,2,1.18 (95% CI:0.9 to 1.54),1.1763,0.8984,1.5403,2.28086242E-1,0.2343
sp|Q15057|ACAP2_HUMAN,Q15057,ACAP2,2,11.87 (95% CI:9.97 to 14.14),11.8717,9.9692,14.1373,2.93827925E-5,3.5695
sp|Q5TEC6|H37_HUMAN / sp|P84243|H33_HUMAN / sp|P68431|H31_HUMAN / sp|Q71DI3|H32_HUMAN / sp|Q16695|H31T_HUMAN / sp|Q6NXT2|H3C_HUMAN,Q5TEC6 / P84243 / P68431 / Q71DI3 / Q16695 / Q6NXT2,H3-7 / H3-3B / H3C12 / H3C13 / H3-4 / H3-5,2,2.56 (95% CI:1.33 to 4.92),2.5598,1.3325,4.9176,3.28588422E-2,1.3561
sp|Q86XA9|HTR5A_HUMAN,Q86XA9,HEATR5A,2,1.73 (95% CI:0.36 to 8.39),1.7291,0.3561,8.3945,4.57458669E-1,0.79
sp|Q8IYT4|KATL2_HUMAN,Q8IYT4,KATNAL2,2,6.18 (95% CI:4.42 to 8.65),6.184,4.4236,8.645,5.19764621E-4,2.6285
sp|Q93096|TP4A1_HUMAN,Q93096,PTP4A1,2,8.57 (95% CI:5.6 to 13.13),8.573,5.5961,13.1334,6.58632314E-4,3.0998
sp|Q9BW04|SARG_HUMAN,Q9BW04,SARG,2,3.07 (95% CI:2.62 to 3.61),3.0726,2.6188,3.6051,2.33201147E-4,1.6195
sp|Q9H3R1|NDST4_HUMAN / sp|O95803|NDST3_HUMAN,Q9H3R1 / O95803,NDST4 / NDST3,2,0.89 (95% CI:0.58 to 1.37),0.8923,0.5811,1.37,5.55323829E-1,-0.1645
sp|Q9HAT2|SIAE_HUMAN,Q9HAT2,SIAE,2,8.29 (95% CI:3.35 to 20.53),8.2928,3.349,20.5346,7.66289695E-3,3.0519
sp|Q9NY65|TBA8_HUMAN,Q9NY65,TUBA8,2,44.26 (95% CI:40.16 to 48.77),44.2572,40.1592,48.7735,2.96225293E-6,5.4678
sp|Q9NZQ3|SPN90_HUMAN,Q9NZQ3,NCKIPSD,2,12.93 (95% CI:5.14 to 32.52),12.9296,5.1412,32.5162,4.38711935E-3,3.6926
sp|Q9UIQ6|LCAP_HUMAN,Q9UIQ6,LNPEP,2,1.53 (95% CI:0.14 to 16.97),1.53,0.1379,16.9708,6.93564148E-1,0.6135
sp|Q9Y6G9|DC1L1_HUMAN,Q9Y6G9,DYNC1LI1,2,11.67 (95% CI:7.15 to 19.05),11.6741,7.1529,19.0532,6.65208414E-4,3.5452
sp|A5PLN9|TPC13_HUMAN,A5PLN9,TRAPPC13,2,234.95 (95% CI:0 to 19114451.53),234.9464,0.0029,19114451.5269,3.19063306E-1,7.8762
sp|P09603|CSF1_HUMAN,P09603,CSF1,2,7.6 (95% CI:2.99 to 19.31),7.596,2.9883,19.308,9.54023654E-3,2.9252
sp|P11274|BCR_HUMAN,P11274,BCR,2,3.02 (95% CI:1.5 to 6.07),3.0162,1.4983,6.0717,2.52195771E-2,1.5927
sp|P25398|RS12_HUMAN,P25398,RPS12,2,12.08 (95% CI:6.09 to 23.96),12.0796,6.0897,23.9614,1.84748991E-3,3.5945
