Protein Name,Gene Name,AD ROC,AD q-value,AD direction,PDD ROC,PDD q-value,PDD direction,PD-noMCI ROC,PD-noMCI q-value,PD-noMCI direction,HC ROC,HC q-value,HC direction,Dementia ROC,Dementia q-value,Dementia direction,Parkinson's ROC,Parkinson's q-value,Parkinson's direction
sp|O75683|SURF6_HUMAN,SURF6,0.933333333,0.013318774,decreased,0.69,0.407679478,increased,0.726666667,0.263689886,increased,0.516666667,0.996900209,increased,0.6825,0.521565295,decreased,0.8125,0.011098221,increased
sp|O43665|RGS10_HUMAN,RGS10,0.786666667,0.065226951,decreased,0.543333333,0.907248369,increased,0.8,0.149887913,increased,0.556666667,0.996900209,decreased,0.6825,0.521565295,decreased,0.7575,0.042715271,increased
sp|Q9Y613|FHOD1_HUMAN,FHOD1,0.796666667,0.056399405,decreased,0.553333333,0.876236625,increased,0.706666667,0.296886391,increased,0.536666667,0.996900209,increased,0.6825,0.521565295,decreased,0.695,0.139145353,increased
sp|Q8N2S1|LTBP4_HUMAN,LTBP4,0.623333333,0.466139263,decreased,0.866666667,0.104719773,increased,0.613333333,0.544108172,decreased,0.63,0.996900209,decreased,0.6825,0.521565295,increased,0.69,0.150786512,increased
sp|Q6PEY2|TBA3E_HUMAN,TBA3E,0.743333333,0.122033905,decreased,0.5,1,decreased,0.74,0.248204097,increased,0.503333333,0.996900209,increased,0.6825,0.521565295,decreased,0.68,0.174014854,increased
sp|Q15067|ACOX1_HUMAN,ACOX1,0.636666667,0.412971101,decreased,0.606666667,0.700889568,decreased,0.536666667,0.860031723,decreased,0.78,0.996900209,increased,0.6825,0.521565295,decreased,0.6075,0.453905106,decreased
sp|Q9H0U3|MAGT1_HUMAN,MAGT1,0.656666667,0.34059815,decreased,0.586666667,0.778105369,decreased,0.653333333,0.418142227,increased,0.59,0.996900209,increased,0.6825,0.521565295,decreased,0.55,0.752305046,increased
sp|Q12931|TRAP1_HUMAN,TRAP1,0.686666667,0.244312884,decreased,0.556666667,0.868302204,decreased,0.61,0.554952928,increased,0.633333333,0.996900209,increased,0.6825,0.521565295,decreased,0.54,0.802007185,increased
sp|Q8IXI2|MIRO1_HUMAN,MIRO1,0.596666667,0.572882121,decreased,0.646666667,0.559232228,decreased,0.66,0.391166407,increased,0.583333333,0.996900209,increased,0.6825,0.521565295,decreased,0.51,0.959802349,increased
sp|Q02108|GCYA1_HUMAN,GCYA1,0.926666667,0.013318774,increased,0.66,0.501713435,decreased,0.83,0.125776944,decreased,0.563333333,0.996900209,increased,0.7,0.521565295,increased,0.8675,0.002669723,decreased
sp|Q53T59|H1BP3_HUMAN,H1BP3,0.926666667,0.013318774,increased,0.74,0.282156544,decreased,0.75,0.232736227,decreased,0.563333333,0.996900209,increased,0.64,0.55481179,increased,0.8675,0.002669723,decreased
sp|P62191|PRS4_HUMAN,PRS4,0.82,0.04180991,decreased,0.573333333,0.825762735,increased,0.713333333,0.287242154,increased,0.533333333,0.996900209,increased,0.685,0.521565295,decreased,0.715,0.096582812,increased
sp|P54619|AAKG1_HUMAN,AAKG1,0.92,0.013521454,increased,0.91,0.069179474,decreased,0.603333333,0.579815749,decreased,0.593333333,0.996900209,increased,0.5075,0.983440442,increased,0.885,0.001641648,decreased
sp|Q8IXB1|DJC10_HUMAN,DJC10,0.92,0.013521454,increased,0.77,0.225298222,decreased,0.703333333,0.304112902,decreased,0.553333333,0.996900209,increased,0.6125,0.588178784,increased,0.855,0.003789959,decreased
sp|Q9HBH0|RHOF_HUMAN,RHOF,0.806666667,0.048967261,decreased,0.56,0.859905941,increased,0.723333333,0.271365625,increased,0.523333333,0.996900209,increased,0.685,0.521565295,decreased,0.7125,0.100730506,increased
sp|P42025|ACTY_HUMAN,ACTY,0.82,0.04180991,decreased,0.573333333,0.825762735,increased,0.703333333,0.304112902,increased,0.543333333,0.996900209,increased,0.685,0.521565295,decreased,0.7075,0.109025071,increased
sp|P62714|PP2AB_HUMAN,PP2AB,0.726666667,0.149376238,decreased,0.52,0.956699224,decreased,0.783333333,0.169242965,increased,0.536666667,0.996900209,decreased,0.685,0.521565295,decreased,0.6975,0.133446788,increased
sp|Q96RL7|VP13A_HUMAN,VP13A,0.913333333,0.013521454,increased,0.793333333,0.179536206,decreased,0.803333333,0.143086535,decreased,0.683333333,0.996900209,increased,0.59,0.653470533,increased,0.9475,0.000358235,decreased
sp|P0DPH7|TBA3C_HUMAN / sp|P0DPH8|TBA3D_HUMAN,TBA3C,0.743333333,0.122033905,decreased,0.503333333,0.995613332,decreased,0.74,0.248204097,increased,0.506666667,0.996900209,increased,0.685,0.521565295,decreased,0.6775,0.176557663,increased
sp|P19022|CADH2_HUMAN,CADH2,0.906666667,0.013521454,increased,0.666666667,0.484784693,decreased,0.746666667,0.234191313,decreased,0.506666667,0.996900209,increased,0.68,0.524981523,increased,0.81,0.011725057,decreased
sp|Q71U36|TBA1A_HUMAN,TBA1A,0.733333333,0.138113105,decreased,0.513333333,0.977174843,decreased,0.733333333,0.261796483,increased,0.513333333,0.996900209,increased,0.685,0.521565295,decreased,0.665,0.212429069,increased
sp|P07900|HS90A_HUMAN,HS90A,0.79,0.062628909,decreased,0.543333333,0.907248369,increased,0.663333333,0.380155866,increased,0.583333333,0.996900209,increased,0.685,0.521565295,decreased,0.655,0.248772541,increased
sp|Q14643|ITPR1_HUMAN,ITPR1,0.903333333,0.013521454,increased,0.576666667,0.815722066,decreased,0.786666667,0.169242965,decreased,0.54,0.996900209,decreased,0.745,0.521565295,increased,0.7725,0.031142104,decreased
sp|P00367|DHE3_HUMAN,DHE3,0.71,0.184961813,decreased,0.536666667,0.922960873,decreased,0.713333333,0.287242154,increased,0.533333333,0.996900209,increased,0.685,0.521565295,decreased,0.6325,0.341932788,increased
