peptide,Protein,LOD,LOQ,slope_linear,intercept_linear,intercept_noise,stdev_noise,stndev_noise
O15194,sp|O15194|CTDSL_HUMAN,14.834172778858287,29.458607756226055,14879.676052708433,-119979.75298266076,36733.073090555685,,32007.42969305026
O95445,sp|O95445|APOM_HUMAN,5.331848486251911,39.756630854887575,61145.42658351472,112792.51334920936,183632.3883888807,,127589.13756543446
P02748,sp|P02748|CO9_HUMAN,13.717639961378048,25.047646835136486,428664.7999399966,-4389883.362715193,272798.8986147074,,608793.5641815613
P21281,sp|P21281|VATB2_HUMAN,6.844583950680544,7.7855477491585185,8330.017003831776,45955.66539342828,64200.27207820123,,19385.447004275025
P23919,sp|P23919|KTHY_HUMAN,6.73436851393162,58.54860822841406,7547.0444746379835,61459.81856572775,61466.989907698175,,25408.70367063661
P36551,sp|P36551|HEM6_HUMAN,14.16819390048332,27.173013006470697,3300.1442150140656,10517.253559181161,22066.854499078618,,17603.74109899007
P55103,sp|P55103|INHBC_HUMAN,18.858001984049874,40.98763780658173,4221.746238398092,-38550.80717723971,18393.053370711343,,11334.919195957633
Q07954,sp|Q07954|LRP1_HUMAN,11.236490575754681,12.133091681050088,17962.287070078928,193379.71502885118,225001.8404850316,,85105.47196288081
Q15813,sp|Q15813|TBCE_HUMAN,inf,inf,2488.8888888888896,-4280523.43616891,334998.7871591961,,inf
Q8N9F7,sp|Q8N9F7|GDPD1_HUMAN,inf,inf,184.5311473626789,19113.710174487584,33533.519481888434,,inf
Q8WUY1,sp|Q8WUY1|THEM6_HUMAN,17.039201017004704,62.29054591682032,4516.734385482667,35123.14667765257,55600.19230308734,,28242.249754610802
Q92888,sp|Q92888|ARHG1_HUMAN,inf,inf,348422.8621810885,-34423951.63131374,289001.48888716847,,inf
Q92928,sp|Q92928|RAB1C_HUMAN,0.7102574620276118,1.7131841543303632,46532.532738983944,52992.78974261652,53033.64404750616,,16504.612150008925
Q92963,sp|Q92963|RIT1_HUMAN,8.130239468379362,9.05821684748664,4140.33806271086,96201.90171669103,96201.99380662543,,16830.923919975397
Q96BN8,sp|Q96BN8|OTUL_HUMAN,62.5518435255469,62.93010773235956,2435.8050412641883,28562.184993717234,110099.53122306515,,35413.37478527396
Q99442,sp|Q99442|SEC62_HUMAN,6.638074860315981,inf,11876.883155749452,47757.918193453675,52816.45776334111,,36890.54996260167
