File Name,Sample Type,Analyte Concentration,Batch Name
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_A1_22.mzML,Standard,100,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_A2_53.mzML,Standard,100,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_A3_70.mzML,Standard,100,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_B1_21.mzML,Standard,70,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_B2_52.mzML,Standard,70,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_B3_69.mzML,Standard,70,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_C1_20.mzML,Standard,50,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_C2_51.mzML,Standard,50,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_C3_68.mzML,Standard,50,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_D1_19.mzML,Standard,30,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_D2_50.mzML,Standard,30,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_D3_67.mzML,Standard,30,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_E1_18.mzML,Standard,10,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_E2_49.mzML,Standard,10,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_E3_66.mzML,Standard,10,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_F1_17.mzML,Standard,7,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_F2_48.mzML,Standard,7,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_F3_65.mzML,Standard,7,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_G1_16.mzML,Standard,5,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_G2_47.mzML,Standard,5,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_G3_64.mzML,Standard,5,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_H1_15.mzML,Standard,3,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_H2_46.mzML,Standard,3,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_H3_63.mzML,Standard,3,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_I1_14.mzML,Standard,1,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_I2_45.mzML,Standard,1,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_I3_62.mzML,Standard,1,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_J1_13.mzML,Standard,0.7,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_J2_44.mzML,Standard,0.7,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_J3_61.mzML,Standard,0.7,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_K1_12.mzML,Standard,0.5,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_K2_43.mzML,Standard,0.5,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_K3_60.mzML,Standard,0.5,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_L1_11.mzML,Standard,0.3,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_L2_42.mzML,Standard,0.3,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_L3_59.mzML,Standard,0.3,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_M1_10.mzML,Standard,0.1,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_M2_41.mzML,Standard,0.1,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_M3_58.mzML,Standard,0.1,C
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_N1_09.mzML,Standard,0,A
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_N2_40.mzML,Standard,0,B
Ecl_2023_0117_neo_pepsep_150um_25cm_1-9um_MM_N3_57.mzML,Standard,0,C
