Protein,Protein Description,Protein Gene,AD01_121315_D5_42 Sum Normalized Area,AD02_121676_D8_64 Sum Normalized Area,AD03_131182_E5_19 Sum Normalized Area,AD04_131136_E6_04 Sum Normalized Area,AD05_131127_E7_61 Sum Normalized Area,AD06_131086_D4_29 Sum Normalized Area,AD07_121663_D7_39 Sum Normalized Area,AD08_131027_E2_13 Sum Normalized Area,AD09_131040_E4_54 Sum Normalized Area,AD10_131282_E8_17 Sum Normalized Area,BatchQC_CP01_21 Sum Normalized Area,BatchQC_CP02_63 Sum Normalized Area,BatchQC_CP03_45 Sum Normalized Area,BatchQC_CP04_10 Sum Normalized Area,BatchRef_KP01_56 Sum Normalized Area,BatchRef_KP02_47 Sum Normalized Area,BatchRef_KP03_25 Sum Normalized Area,BatchRef_KP04_07 Sum Normalized Area,HC01_141076_A7_24 Sum Normalized Area,HC02_141337_C3_53 Sum Normalized Area,HC03_121255_D2_08 Sum Normalized Area,HC04_121321_D6_50 Sum Normalized Area,HC05_131028_E3_18 Sum Normalized Area,HC06_141346_A5_11 Sum Normalized Area,HC07_141210_C7_43 Sum Normalized Area,HC08_141198_C8_14 Sum Normalized Area,HC09_111402_D3_41 Sum Normalized Area,HC10_131248_F2_52 Sum Normalized Area,PDD01_141132_A8_46 Sum Normalized Area,PDD02_141202_B3_28 Sum Normalized Area,PDD03_815_F7_03 Sum Normalized Area,PDD04_1089_F8_60 Sum Normalized Area,PDD05_141365_A4_49 Sum Normalized Area,PDD06_131379_B5_59 Sum Normalized Area,PDD07_131387_B6_27 Sum Normalized Area,PDD08_141335_C2_38 Sum Normalized Area,PDD09_121343_C5_06 Sum Normalized Area,PDD10_PST18-0089_F6_20 Sum Normalized Area,PD-noMCI01_141226_B4_48 Sum Normalized Area,PD-noMCI02_141374_B8_40 Sum Normalized Area,PD-noMCI03_131326_C4_15 Sum Normalized Area,PD-noMCI04_141312_C6_55 Sum Normalized Area,PD-noMCI05_141366_F3_57 Sum Normalized Area,PD-noMCI06_131175_A2_12 Sum Normalized Area,PD-noMCI07_131201_A3_22 Sum Normalized Area,PD-noMCI08_141097_A6_26 Sum Normalized Area,PD-noMCI09_141127_B2_62 Sum Normalized Area,PD-noMCI10_131355_B7_05 Sum Normalized Area
sp|O15194|CTDSL_HUMAN,CTD small phosphatase-like protein OS=Homo sapiens OX=9606 GN=CTDSPL PE=1 SV=2,CTDSPL,1.8209E+6,2.4596E+6,2.0442E+6,2.0288E+6,2.1376E+6,4.1636E+6,2.9874E+6,2.9423E+6,2.8742E+6,2.8201E+6,1.9877E+6,2.2445E+6,2.5983E+6,2.0657E+6,1.8396E+6,2.0114E+6,2.3363E+6,2.5325E+6,2.2940E+6,3.4834E+6,3.3412E+6,3.5024E+6,2.2481E+6,3.2098E+6,2.8368E+6,3.1833E+6,1.2935E+6,1.5557E+6,2.0814E+6,2.9426E+6,3.5484E+6,3.5957E+6,2.3389E+6,1.8951E+6,1.3876E+6,3.0050E+6,1.7529E+6,2.6860E+6,4.4812E+6,3.7668E+6,2.7476E+6,3.4721E+6,3.1906E+6,2.1921E+6,3.4745E+6,3.7174E+6,4.5590E+6,3.3865E+6
sp|O95445|APOM_HUMAN,Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2,APOM,2.9096E+7,5.7284E+7,1.4624E+7,2.6206E+7,3.0541E+7,5.6437E+7,1.2763E+7,1.8384E+8,5.6160E+7,5.3306E+7,5.0394E+7,4.8999E+7,5.0494E+7,5.5860E+7,1.3364E+7,1.0358E+7,1.5824E+7,1.2038E+7,3.4759E+7,6.3300E+6,3.4735E+7,4.1452E+7,4.0113E+7,1.1846E+7,7.2515E+6,1.3801E+7,4.9952E+7,2.7231E+7,1.0230E+7,1.7589E+7,1.0741E+7,5.9170E+6,1.9288E+7,1.6279E+7,3.0242E+7,7.3327E+6,1.9478E+7,8.1075E+7,7.6978E+6,2.0167E+7,1.3882E+7,1.3481E+7,2.0169E+7,2.8236E+7,2.1421E+7,5.3573E+6,5.5462E+6,1.6365E+7
sp|P21281|VATB2_HUMAN,"V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3",ATP6V1B2,1.4561E+7,1.2783E+7,1.5335E+7,1.2168E+7,1.5833E+7,9.6772E+6,1.4493E+7,1.8421E+7,8.7264E+6,1.0533E+7,1.5831E+7,1.6688E+7,1.5182E+7,1.5947E+7,1.3340E+7,1.4679E+7,1.6277E+7,1.4511E+7,9.9376E+6,1.3445E+7,9.6479E+6,9.3719E+6,9.1582E+6,1.7222E+7,2.2190E+7,1.8071E+7,1.2023E+7,7.3603E+6,1.3745E+7,1.5929E+7,1.5010E+7,1.4341E+7,1.6970E+7,1.2910E+7,9.7709E+6,1.3982E+7,1.7262E+7,8.9651E+6,1.6225E+7,1.2443E+7,1.7590E+7,1.5191E+7,1.9195E+7,1.2859E+7,2.1067E+7,1.5497E+7,1.6520E+7,1.6139E+7
sp|P23919|KTHY_HUMAN,Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4,DTYMK,4.2540E+5,2.1448E+5,3.9473E+4,1.2627E+5,9.0645E+4,4.0883E+5,1.1479E+5,7.5341E+5,0.0000E+0,2.9576E+4,2.1189E+4,1.7638E+5,5.9007E+3,3.0237E+4,3.2895E+4,1.0063E+5,9.5829E+4,3.7354E+4,0.0000E+0,2.2135E+5,4.3409E+5,3.4248E+5,3.6672E+4,1.6577E+5,3.6940E+5,3.3767E+5,9.6304E+5,5.0627E+4,1.3016E+5,9.7260E+4,1.8811E+5,1.9832E+5,1.1024E+5,8.6001E+4,2.6746E+4,2.0529E+5,7.1510E+4,1.1962E+4,1.4660E+5,1.9294E+4,1.1436E+5,1.3472E+5,6.6736E+3,3.2419E+4,2.1277E+4,3.1567E+5,3.2976E+5,9.8726E+4
sp|P36551|HEM6_HUMAN,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",CPOX,1.9323E+6,2.9968E+6,1.4899E+6,2.5501E+6,1.5452E+6,3.0208E+6,1.5693E+6,5.0106E+6,7.5546E+6,2.0277E+6,2.8368E+6,1.8689E+6,1.7776E+6,2.2985E+6,1.2998E+6,9.9928E+5,1.2537E+6,1.2170E+6,1.7706E+6,1.7444E+6,1.6305E+6,1.7758E+6,2.1512E+6,1.1436E+6,1.9962E+6,7.5292E+5,1.8901E+6,2.4022E+6,1.3961E+6,1.5070E+6,1.3789E+6,1.5727E+6,2.0230E+6,1.0081E+6,1.9361E+6,2.0760E+6,8.7142E+5,6.6786E+6,1.6053E+6,1.4221E+6,1.4337E+6,1.5756E+6,1.2466E+6,1.5390E+6,1.3849E+6,1.6785E+6,1.5041E+6,1.0928E+6
sp|P55103|INHBC_HUMAN,Inhibin beta C chain OS=Homo sapiens OX=9606 GN=INHBC PE=2 SV=1,INHBC,1.2458E+7,3.3343E+7,1.2530E+7,3.7917E+7,4.9001E+7,1.5010E+7,1.6183E+7,1.8665E+8,4.9895E+7,3.6238E+7,3.8579E+7,3.3771E+7,3.4182E+7,4.1319E+7,1.1366E+7,1.0824E+7,1.2356E+7,8.1657E+6,3.3174E+7,6.4730E+6,1.2896E+7,2.8110E+7,2.3015E+7,6.9428E+6,4.6977E+6,7.0274E+6,3.1958E+7,4.7484E+7,5.4643E+6,9.4500E+6,7.1957E+6,4.0722E+6,9.9422E+6,1.1751E+7,9.5497E+6,3.5216E+6,2.9474E+7,7.0156E+7,5.0891E+6,1.0619E+7,9.1998E+6,5.1747E+6,1.2389E+7,2.1832E+7,9.4428E+6,4.8141E+6,7.2699E+6,1.1815E+7
sp|P59190|RAB15_HUMAN,Ras-related protein Rab-15 OS=Homo sapiens OX=9606 GN=RAB15 PE=1 SV=1,RAB15,2.6055E+8,2.9680E+8,2.3657E+8,2.5564E+8,3.1064E+8,2.6557E+8,2.5161E+8,2.2839E+8,3.2342E+8,1.9271E+8,2.3857E+8,2.5293E+8,2.5742E+8,1.8849E+8,2.7771E+8,2.8121E+8,2.4984E+8,2.5285E+8,2.5704E+8,2.5651E+8,2.5664E+8,2.3183E+8,2.2578E+8,2.3653E+8,2.7432E+8,2.5267E+8,2.2655E+8,2.4628E+8,2.6476E+8,2.4079E+8,2.4093E+8,2.6382E+8,2.9039E+8,2.8667E+8,2.5989E+8,2.5616E+8,2.4967E+8,2.3052E+8,2.6126E+8,2.6354E+8,2.3047E+8,2.6429E+8,2.7602E+8,2.5302E+8,2.5759E+8,2.9867E+8,2.9190E+8,2.9255E+8
sp|Q07954|LRP1_HUMAN,Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2,LRP1,5.3696E+9,6.5883E+9,2.3553E+9,5.0882E+9,5.9503E+9,1.3815E+10,2.6663E+9,3.5723E+10,1.4209E+10,8.7229E+9,4.4994E+9,4.7353E+9,4.3411E+9,4.4087E+9,2.5000E+9,2.3926E+9,2.2052E+9,2.3662E+9,4.5686E+9,1.0948E+9,9.0745E+9,1.2758E+10,4.6824E+9,1.2312E+9,9.2735E+8,2.2553E+9,1.2112E+10,7.4481E+9,2.4904E+9,2.2865E+9,1.4017E+9,9.8313E+8,2.6411E+9,2.4001E+9,5.3052E+9,1.0861E+9,3.5093E+9,1.0256E+10,1.2620E+9,2.6692E+9,2.3649E+9,2.0051E+9,3.2734E+9,4.1195E+9,2.3312E+9,6.7980E+8,6.3253E+8,1.5081E+9
sp|Q8WUY1|THEM6_HUMAN,Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2,THEM6,5.0249E+6,5.2445E+6,3.2186E+6,4.2136E+6,9.0308E+6,1.0423E+7,4.6050E+6,2.7212E+7,1.3894E+7,9.1062E+6,2.4020E+6,7.0685E+6,6.5681E+6,3.4341E+6,4.0108E+6,3.1898E+6,2.2210E+6,1.9443E+6,6.6311E+6,1.9599E+6,4.0306E+6,6.0861E+6,3.5877E+6,3.2966E+6,2.7390E+6,2.2737E+6,8.8633E+6,6.2934E+6,1.5102E+6,3.9111E+6,2.0558E+6,2.3162E+6,3.5758E+6,3.6585E+6,2.9457E+6,2.1242E+6,4.7153E+6,1.0139E+7,3.0452E+6,3.3377E+6,2.1756E+6,3.3168E+6,5.5302E+6,5.7374E+6,4.2341E+6,2.0553E+6,2.1515E+6,1.8817E+6
sp|Q92888|ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2,ARHGEF1,1.6643E+6,2.2980E+6,8.6972E+5,1.1535E+6,1.4116E+6,7.7520E+5,7.2975E+5,3.4700E+6,4.0536E+6,1.0563E+6,1.5850E+6,1.5943E+6,7.7158E+5,1.2849E+6,1.2900E+6,1.0809E+6,8.4969E+5,1.0370E+6,1.9521E+6,8.4665E+5,5.1630E+5,1.1937E+6,1.4603E+6,7.7607E+5,7.0761E+5,5.4107E+5,1.5136E+6,1.2201E+6,8.3577E+5,1.3269E+6,6.4765E+5,9.1798E+5,1.0582E+6,1.6562E+6,2.2631E+6,1.1456E+6,8.5363E+5,2.3543E+6,7.9558E+5,7.8526E+5,1.0846E+6,1.1410E+6,1.1584E+6,1.3271E+6,1.3934E+6,7.6149E+5,9.8547E+5,7.5703E+5
