Protein,ProteinDescription,ProteinGene,EV13_SAXN_12mz_10 Sum NormalizedArea,EV14_SAXN_12mz_17 Sum NormalizedArea,EV15_SAXN_12mz_31 Sum NormalizedArea,Total04_HydN_12mz_42 Sum NormalizedArea,Total05_HydN_12mz_38 Sum NormalizedArea,Total06_HydN_12mz_40 Sum NormalizedArea
sp|Q9BY50|SC11C_HUMAN,Signal peptidase complex catalytic subunit SEC11C OS=Homo sapiens OX=9606 GN=SEC11C PE=1 SV=3,SEC11C,2603565.25,1269363.26,1951794.47,19741.17,0.00,0.00
sp|P02768|ALBU_HUMAN,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,ALB,65789036144.33,60828923161.99,61488033716.96,1176925732521.23,1144604361472.34,1228568861664.97
sp|P02647|APOA1_HUMAN,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1,APOA1,28680601946.79,27356964982.09,29013042777.13,177943298719.78,167428367088.99,186092448936.85
sp|P02787|TRFE_HUMAN,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3,TF,6155871080.34,5549309813.97,5559055952.58,148616131840.22,141688595994.41,153245586564.65
sp|P01857|IGHG1_HUMAN,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1,IGHG1,13574885885.11,13660202949.97,13895019761.78,118704130314.38,110369087001.17,120965966600.88
sp|P00738|HPT_HUMAN,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1,HP,4017126101.50,3913629797.56,4083560530.68,106440389161.29,104223394539.73,113348604469.98
sp|P01023|A2MG_HUMAN,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3,A2M,4483270936.75,4637498361.83,4658995304.69,94064041017.14,89621773474.23,98241385641.83
sp|P01860|IGHG3_HUMAN,Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2,IGHG3,7987204225.85,7921136972.68,7776798609.38,77112268251.02,73350764987.91,80044962507.67
sp|P01859|IGHG2_HUMAN,Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=2,IGHG2,6108332928.20,5730618040.70,5949487791.71,79867986344.17,71466288611.01,76048967847.52
sp|P04114|APOB_HUMAN,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2,APOB,7495061411.23,7281739749.11,6832686686.83,73005270380.68,69323898402.42,75280241613.27
sp|P01876|IGHA1_HUMAN,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2,IGHA1,29580114136.69,25630416540.05,25265679093.71,62841359845.44,61553017286.52,68157288984.57
sp|P02671|FIBA_HUMAN,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,FGA,98324255711.26,89156270020.77,88600801000.82,56591968579.20,55127513821.15,60257492507.08
sp|P01024|CO3_HUMAN,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,C3,10058875310.80,9091884014.51,9001685899.13,55552550695.21,53480060754.23,58473592867.89
sp|P01861|IGHG4_HUMAN,Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1,IGHG4,5426975751.49,5327470177.18,5069468196.07,58543370002.49,51470029467.19,57773651951.22
sp|P00739|HPTR_HUMAN,Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=2 SV=2,HPR,2522741523.50,2408292074.83,2535334938.62,45138606201.45,44300771343.32,47675177185.26
sp|P02675|FIBB_HUMAN,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,FGB,92376061091.83,81770637547.84,83412743849.48,43415200173.16,41359298303.30,45018398740.90
sp|P01834|IGKC_HUMAN,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2,IGKC,6639705300.85,5669080880.47,5513473653.00,33301287230.08,32992021328.50,35358567490.55
sp|P01009|A1AT_HUMAN,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3,SERPINA1,2117252274.10,1984731790.61,2038717019.51,31999662759.27,32564019436.22,34129385031.57
sp|P02679|FIBG_HUMAN,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,FGG,83832937405.66,78369782300.86,76755519107.70,31947655519.06,30461619878.47,33198673803.19
sp|P01877|IGHA2_HUMAN,Immunoglobulin heavy constant alpha 2 OS=Homo sapiens OX=9606 GN=IGHA2 PE=1 SV=4,IGHA2,15337981954.28,13128823078.62,13307348410.19,29926595809.47,29579541357.66,32570630109.99
sp|P02790|HEMO_HUMAN,Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2,HPX,1310017704.83,1235052273.41,1279225753.72,29261874260.63,28020507077.27,29749127724.24
sp|Q01433|AMPD2_HUMAN,AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2,AMPD2,627918499.89,600310508.77,599285267.36,8755573391.37,26475877330.31,46854984765.55
sp|P00924|ENO1_YEAST,Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3,ENO1,13965584543.16,12693892000.00,12746559287.07,22000051361.86,24750940949.29,26980693098.70
sp|P0DOY3|IGLC3_HUMAN / sp|P0DOY2|IGLC2_HUMAN,"Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1
Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1",IGLC3 / IGLC2,4741326498.75,4253481783.22,4212785663.90,21945785702.48,19992240057.95,21086699165.84
sp|P01871|IGHM_HUMAN,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4,IGHM,6966076750.69,6260694335.73,6209696828.24,20230480441.99,19755853989.95,21245752410.93
sp|P0C0L5|CO4B_HUMAN,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B_2 PE=1 SV=2,C4B_2,534757515836.14,522512559227.92,540124954086.15,19487893757.81,19028169510.84,20303759581.05
sp|P0C0L4|CO4A_HUMAN,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2,C4A,534498257285.19,522317355074.35,539975448917.90,19485015804.73,19024866332.16,20298548703.51
sp|P08603|CFAH_HUMAN,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4,CFH,2225854750.35,2102474638.80,2053284138.81,19233772629.84,18657013043.18,19823043496.31
sp|P20742|PZP_HUMAN,Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4,PZP,849777951.38,912194482.32,939386680.85,16250033858.88,15277553545.16,16890874950.68
sp|P02751|FINC_HUMAN,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,FN1,71217065241.09,62117409223.41,63507307347.86,13857129422.97,13278006508.61,14869804780.10
sp|P02652|APOA2_HUMAN,Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1,APOA2,1490669808.34,1432239470.17,1357368642.27,13271858926.31,13069799046.35,13196612535.87
sp|A0M8Q6|IGLC7_HUMAN,Immunoglobulin lambda constant 7 OS=Homo sapiens OX=9606 GN=IGLC7 PE=1 SV=3,IGLC7,3389213814.40,2917939181.24,2911175230.51,13268490451.28,12742390957.82,13354389471.04
sp|B9A064|IGLL5_HUMAN,Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2,IGLL5,3274575077.90,3195847373.94,3023583528.48,14046003995.51,12267786354.89,14385048050.29
sp|P00747|PLMN_HUMAN,Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2,PLG,2342731149.10,2192133145.85,2226985090.54,11209166510.23,10772180148.41,11551849100.81
sp|P02774|VTDB_HUMAN,Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2,GC,3744397676.49,3350008337.56,3394209921.52,10844969255.50,10710306954.84,11359633800.91
sp|P01008|ANT3_HUMAN,Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1,SERPINC1,881469009.00,827864151.48,813325525.05,10689845801.31,10494063212.93,10909029088.05
sp|Q8NF50|DOCK8_HUMAN,Dedicator of cytokinesis protein 8 OS=Homo sapiens OX=9606 GN=DOCK8 PE=1 SV=3,DOCK8,609581641.83,594590919.93,633167894.29,10283094687.35,10462538422.26,11161430514.90
sp|P01042|KNG1_HUMAN,Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2,KNG1,55612791693.15,52695532403.01,52492633545.07,10872972667.11,10361426248.16,11160574495.68
sp|P68871|HBB_HUMAN,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2,HBB,597550971.04,581666994.48,560985169.75,10805526246.52,10310975983.77,10846253428.02
sp|P04217|A1BG_HUMAN,Alpha-1B-glycoprotein OS=Homo sapiens OX=9606 GN=A1BG PE=1 SV=4,A1BG,705718972.53,574337970.92,569086765.84,10432377239.29,10092096562.58,10778249247.69
sp|P06727|APOA4_HUMAN,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4,APOA4,1890229094.91,1821585136.36,1962092724.64,10455196513.32,9878033256.78,10959132320.07
sp|Q8IY22|CMIP_HUMAN,C-Maf-inducing protein OS=Homo sapiens OX=9606 GN=CMIP PE=1 SV=3,CMIP,1658470149.67,1081605982.74,1187048718.05,9347472638.43,9728307199.53,10126797545.16
sp|P02649|APOE_HUMAN,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1,APOE,4446433386.16,4020286147.68,4259255456.06,9432064500.35,9272660549.27,9869445824.63
sp|P00751|CFAB_HUMAN,Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2,CFB,503268972.44,437069657.97,448113522.00,8786686764.41,8116232205.78,8921799531.81
sp|P19823|ITIH2_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2,ITIH2,207520595691.22,188596502052.87,183934426205.72,8202316364.73,8041493032.07,8833505171.11
sp|P05155|IC1_HUMAN,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2,SERPING1,15438473345.16,14046583386.66,14102531899.22,8045781675.49,7962897086.04,8415337603.27
sp|P01011|AACT_HUMAN,Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2,SERPINA3,1323195262.32,1257471380.08,1312193520.01,8451619896.27,7822575568.02,9308437169.40
sp|Q14624|ITIH4_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4,ITIH4,619258803.42,613806602.57,606965048.73,8192226691.62,7782506377.17,8517609909.54
sp|P60709|ACTB_HUMAN,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB,194512955717.80,179381824925.80,189790038271.48,7645652541.75,7566526338.06,8039663937.27
sp|P00450|CERU_HUMAN,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1,CP,3212174464.23,2820838668.08,2740721629.88,8061880409.13,7372261590.53,8332584940.95
sp|P02766|TTHY_HUMAN,Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1,TTR,11596419428.13,12597714167.33,12130446192.51,8265058132.62,7320967060.80,7624766912.46
sp|P04003|C4BPA_HUMAN,C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2,C4BPA,108646189617.18,99774336763.83,105063721529.16,6975710559.86,6930675302.13,7407812615.29
sp|P68032|ACTC_HUMAN,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",ACTC1,127531744792.61,119250529676.35,127546187980.81,6053110650.97,6059768297.76,6368859570.87
sp|P62736|ACTA_HUMAN,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",ACTA2,121431496273.72,113322462477.37,121276712998.56,6046785518.36,6052510827.75,6364680629.59
sp|P00734|THRB_HUMAN,Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2,F2,223078730413.92,206556564633.36,203297183622.92,5702342181.12,5946189359.15,6040664574.46
sp|O94915|FRYL_HUMAN,Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2,FRYL,51022693.32,48944880.75,43682398.01,4930431006.59,5932268081.51,5878112645.54
sp|P69905|HBA_HUMAN,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA2 PE=1 SV=2,HBA2,297661084.56,306308910.75,286163090.53,5253674023.15,5804279015.71,5496314074.25
